ID,ITEM,COMMON_NAMES,ENGLISH_NAME,CONTENT_DESC,DISPOSAL_RATE,PER_PORTION_WEIGHT,FOOD_TYPE,DATA_TYPE
R2300301,冷凍芋泥包,NA,Taro paste bun,"冷凍包裝,混合均勻打碎(麵粉,芋頭等)",0,71,加工調理食品及其他類,樣品基本資料
R2300501,冷凍芝麻包,NA,Sesame bun,"冷凍包裝,混合均勻打碎(麵粉,芝麻粉等)",NA,48,加工調理食品及其他類,樣品基本資料
R2100401,擔仔麵,NA,NA,"熟食,加肉燥不含湯,混合均勻打碎",NA,0,加工調理食品及其他類,樣品基本資料
C2300101,生鮮蓮子,NA,Lotus nut; Lotus seed,"生鮮,混合均勻打碎(蓮子,蓮子心等)",NA,149,堅果及種子類,樣品基本資料
Q4200201,洋芋片,NA,Potato chips,"熟食,混合均勻打碎",NA,0,糕餅點心類,樣品基本資料
Q0700201,泡芙(巧克力),NA,Chocolate puff,"熟食,混合均勻打碎(麵粉,雞蛋等)",NA,3,糕餅點心類,樣品基本資料
R2100201,泡麵(牛肉口味),NA,Instant noodle,"混合均勻打碎(麵粉,調味料等)",0,0,加工調理食品及其他類,樣品基本資料
R2700201,冷凍蔥油餅,蔥油派,NA,"冷凍包裝,混合均勻打碎(麵粉,蔥,雞蛋等)",0,105,加工調理食品及其他類,樣品基本資料
R2200301,冷凍豬肉韭菜水餃,NA,Dumpling: pork and leek,"冷凍包裝,混合均勻打碎(麵粉,鮮肉,蔬菜等)",NA,0,加工調理食品及其他類,樣品基本資料
C2350101,糖漬蓮子,NA,Lotus nut; Lotus seed,"熟,混合均勻打碎(蓮子,糖等)",NA,0,堅果及種子類,樣品基本資料
R2600201,冷凍披薩(黑胡椒火腿),NA,Pizza,"冷凍包裝,混合均勻打碎(麵粉,奶油等)",NA,112,加工調理食品及其他類,樣品基本資料
R2200401,冷凍豬肉蟹黃水餃,NA,Dumpling,"冷凍包裝,混合均勻打碎(豬肉,麵粉等)",NA,16,加工調理食品及其他類,樣品基本資料
Q6400501,薑糖,NA,Candy,"混合均勻打碎(蔗糖,麥芽糖,生薑等)",NA,9,糕餅點心類,樣品基本資料
Q6900301,紅豆球,NA,NA,"混合均勻打碎(紅豆,麥芽,砂糖等)",NA,9,糕餅點心類,樣品基本資料
Q6900401,綠豆球,NA,NA,"混合均勻打碎(綠豆,麥芽,砂糖等)",NA,10,糕餅點心類,樣品基本資料
R2200501,冷凍香菇雞肉水餃,NA,"Dumpling: marshroom, chicken","冷凍包裝,混合均勻打碎(雞肉,香菇,豬肉等)",NA,13,加工調理食品及其他類,樣品基本資料
R2200701,冷凍鮪魚水餃,NA,Dumpling: tuna,"冷凍包裝,混合均勻打碎(麵粉,鮪魚,豬肉等)",NA,13,加工調理食品及其他類,樣品基本資料
C1710201,鹽酥帶殼花生(熟),"土豆,長生果,落花生",Peanut with shell,"熟,混合均勻打碎(帶殼花生,鹽等)",33.7,142,堅果及種子類,樣品基本資料
P1000501,義式乳酪醬,NA,NA,"混合均勻(保久乳,乳酪,鮮奶油,麵粉,奶油,調味料,牛奶鈣, nisin,乳化安定劑等)",NA,15,調味料及香辛料類,樣品基本資料
P1301101,法式香蒜醬,NA,NA,"麵包醬,混合均勻(奶油,蒜,荷蘭芹,調味料等)",NA,13,調味料及香辛料類,樣品基本資料
J3100801,台灣蜆,"蜆(蜊/拉)仔,河蜆",Corbicula Clam; Freshwater Clam; Taiwanese freshwater clam,"生,去殼,混合均勻打碎",75,0,魚貝類,樣品基本資料
J5100101,海蜇皮,"瑝魚,海蛇,紅(面)蜇,鮓魚",Jelly fish,"生,濕貨,混合均勻打碎",NA,0,魚貝類,樣品基本資料
B0400301,芋心甘薯,"甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,紫心甘薯,芋頭(仔)番薯",Sweet potato,"生鮮,芋心種,去皮,混合均勻打碎",14.5,182,澱粉類,樣品基本資料
E9300101,過溝菜蕨,"過貓(溝),過貓(溝)菜,蕨山貓,食用雙囊蕨",Common bracken,"生鮮,混合均勻打碎",NA,6,蔬菜類,樣品基本資料
E3850101,梅乾菜,NA,NA,"鹽漬發酵,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
E7100101,黃櫛瓜,NA,Zucchini,"生鮮,去頭尾,混合均勻打碎",6.7,144,蔬菜類,樣品基本資料
J0413401,鋸尾鯛,"黑豬哥,黑將軍,打鐵婆,剝皮仔,老娘(澎湖)",Scalpel sawtail,"生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",60.9,0,魚貝類,樣品基本資料
J0413901,大目鮪,"大目仔,大眼鮪,大目串,短墩,串仔(澎湖),短鮪",Tuna; Bigeye tunny; Big eye tunny; Big-eye tunny; Coffrey; Bigeye tuna fish; Big-eye tuna; Bigeye tuna; Bigeye; Big eye; Big eye tuna; Bigeyed tuna; Bigeye Tuna,"生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",62.7,0,魚貝類,樣品基本資料
J0404404,日本花鱸((11月),"七星鱸,花鱸,青鱸,鱸魚,日本真鱸",Perch; Sea bass; Japanese seaperch; Japanese sea bass; Japan sea bass,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",60,0,魚貝類,樣品基本資料
J0404405,日本花鱸((12月),"七星鱸,花鱸,青鱸,鱸魚,日本真鱸",Perch; Sea bass; Japanese seaperch; Japanese sea bass; Japan sea bass,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",56.5,0,魚貝類,樣品基本資料
E6100101,絲瓜花,菜瓜花,Vegetable sponge flower,"生鮮,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
A0351501,菠菜條,NA,Noodle: spinach flavored,"生,乾麵條,混合均勻打碎(小麥粉,菠菜,澱粉等)",NA,0,穀物類,樣品基本資料
E3201001,油菜心,"油菜花(苔),油菜花苔,苔芥,苔菜,油菜嬰",NA,"生鮮,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
J0403107,"鯔(12月,雌魚)","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",Sea mullet; River mullet; Springer; Striped mullet; Common grey mullet; Common mullet; Black mullet; Bright mullet; Black true mullet; Bully mullet; Callifaver mullet; Flathead grey mullet; Mullet;,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(不含魚卵)",41,0,魚貝類,樣品基本資料
E9900401,厥子,NA,Fern bud,"生鮮,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
E9900601,龍延草,NA,NA,"生鮮,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
D0430101,百香果汁,"時計果汁,西番果汁,西番蓮汁,美里瓜汁",Passion fruit juice,"生鮮,取內容物,混合均勻打碎,再去除粗籽",57.7,31,水果類,樣品基本資料
J0402101,銀魚,"水晶魚,小銀魚",Silver fish,"生,混合均勻打碎",NA,5,魚貝類,樣品基本資料
B0400601,黃肉甘薯,"甘薯,番薯,甜薯,地瓜,田薯,土薯",Sweet potato,"生鮮,黃皮黃肉,去皮,混合均勻打碎",15.5,148,澱粉類,樣品基本資料
J0400601,"魩仔魚(加工,大)",魩仔,Anchovy,"熟,混合均勻打碎",NA,2,魚貝類,樣品基本資料
J0413601,鱗網帶鰆切片,"油魚,細鱗仔,玉梭魚,白玉豚",Escolar,"生,去皮及骨刺,混合均勻打碎",21.1,186,魚貝類,樣品基本資料
J0402201,白肉鮭魚切片,NA,Salmon,"生,去皮及骨刺,混合均勻打碎",20.7,274,魚貝類,樣品基本資料
A0600201,糯高梁,NA,Sorghum: glutinous; Kao-lian: glutinous,"生,混合均勻磨碎",NA,0,穀物類,樣品基本資料
G1500201,鮑魚菇,"夏季鮑魚菇,高溫平菇,台灣平菇,黑美人菇,人工口蘑(囊狀側耳)",Obalonus; Cystidiate Pleurotus; The Abalone Mushroom,"生鮮,高溫系,混合均勻打碎",0,0,菇類,樣品基本資料
J0800201,扁魚干,NA,Dried roughscale flounder,"生,混合均勻打碎",NA,7,魚貝類,樣品基本資料
J0707101,鮪魚肚,NA,Tuna stomach,"生,混合均勻打碎",NA,0,魚貝類,樣品基本資料
G2000101,洋菇,"西洋蘑菇(蘑菇,雙孢蘑菇)",Mushroom; Button; Champignon,"生鮮,混合均勻打碎",0,11,菇類,樣品基本資料
G2000201,冷凍洋菇,"西洋蘑菇(蘑菇,雙孢蘑菇)",Marshroom: frozen,"生,冷凍包裝,混合均勻打碎",0,0,菇類,樣品基本資料
J0405401,棕點石斑魚,"老虎斑,過魚",Tiger grouper; Blotch grouper; Blotchy rockcod; Black-tipped cod; Blotchy grouper; Brown-marbled grouper; Flower cod; Flowery cod; Marble grouper; Grouper,"生,去鱗,去皮,去頭尾,去內臟及骨刺,(購買時已去鱗片及內臟)",60,195,魚貝類,樣品基本資料
J0409501,青嘴龍占魚,"龍尖,龍占,青嘴仔,青嘴/尖嘴仔(澎湖)",Sand snapper; Parrot-fish; North-west snapper; Norwest snapper; Snuppy; Spangled emperor; Scavenger; Red-finned emperor; Pig-faced bream; Tricky snapper; Starry pigface bream; Yellow sweetlip;,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(購買時已去鱗片及內臟)",53.5,347,魚貝類,樣品基本資料
J0408901,葉唇笛鯛,"厚唇仔,紅魚",Tang's snapper,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",64.1,120,魚貝類,樣品基本資料
J2101201,藍對蝦,藍蝦,NA,"生,去頭尾及外殼,混合均勻打碎",44.3,10,魚貝類,樣品基本資料
H0705102,綠豆,"菉豆,綠小豆,輻莢豆",Green bean; Chickasaw,"生,乾貨,混合均勻磨碎",NA,219,豆類,樣品基本資料
H0710101,綠豆仁,"菉豆,綠小豆,輻莢豆",Green bean: skin removed,"生,乾貨,去皮綠豆仁,混合均勻打碎",NA,214,豆類,樣品基本資料
J3101201,菲律賓簾蛤,"菲律賓蛤仔,海瓜子(仔)蛤,花蛤",Filipino Venus,"生,去外殼,混合均勻打碎",55.6,5,魚貝類,樣品基本資料
B0100204,山藥(大刺),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Da-Tsyh,"生鮮,去皮,混合均勻打碎",16.2,1008,澱粉類,樣品基本資料
J0401005,虱目魚(12月),"海草魚,遮目魚,殺目魚,安平魚,國姓魚,麻虱目仔,虱目/麻虱目(澎湖)",Salmon herring; Bangos; Bony salmon; Milkfish; Milk fish,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",50,0,魚貝類,樣品基本資料
J0401001,虱目魚(2月),"海草魚,遮目魚,殺目魚,安平魚,國姓魚,麻虱目仔,虱目/麻虱目(澎湖)",Salmon herring; Bangos; Bony salmon; Milkfish; Milk fish,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",40.8,0,魚貝類,樣品基本資料
E3201101,油菜,"油菜心,胡菜,寒菜,青油菜,苔菜,苔芥,蕓苔,油菜子",Rape; cole,"生鮮,混合均勻打碎",NA,24,蔬菜類,樣品基本資料
E8700101,山蘇菜,"山蘇花,鳥巢蕨,山翅菜,雀(鳥)巢羊齒,歪頭 菜,巢鐵角蕨,掌草",Asplenium antiguum Mak.,"生鮮,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
J0403106,"鯔(12月,雄魚)","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",Sea mullet; River mullet; Springer; Striped mullet; Common grey mullet; Common mullet; Black mullet; Bright mullet; Black true mullet; Bully mullet; Callifaver mullet; Flathead grey mullet; Mullet;,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(不含魚精囊)",55,0,魚貝類,樣品基本資料
E1400201,冷凍麻竹筍,"蔴竹,甜竹,巨竹,坭竹,大綠竹,瓦坭竹,巨麻竹,美濃麻竹,吊絲麻竹",Bamboo shoot: frozen; Bamboo sprout: frozen,混合均勻打碎,NA,0,蔬菜類,樣品基本資料
E1800101,嫩莖萵苣,"鵝菜心,莖用萵苣,萵(鵝)仔菜心,大心萵(媚)仔菜,萵苣筍(莖),妹仔菜筍,",Stem lettuce; Asparagus lettuce,"生鮮,去皮,混合均勻打碎",24.2,0,蔬菜類,樣品基本資料
J0409904,真鯛(8月),"嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚",Red seabream; Red tail; Red porgy; Silver seabream; Red sea bream; Red pargo; Genuine porgy; Japanese seabream; Madai; Japanese porgy,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",60.4,220,魚貝類,樣品基本資料
J0415304,銀鯧(8月),"白鯧,正鯧,銀鯧,支子",Silver pomfret; White pomfret,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",57.3,138,魚貝類,樣品基本資料
E9900101,美國空心菜,NA,U.S.water spinach， ipom(o)ea， water convolvulus,"生鮮,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
A0351801,刀削麵,NA,Noodle: sliced,"生,濕麵條,混合均勻打碎(小麥粉等)",NA,0,穀物類,樣品基本資料
E9900201,香芫荽,NA,NA,"生鮮,去莖部,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
J0414901,旗魚切片,"翹翅仔,白肉旗魚,闊胸仔,立翅旗魚,白皮丁挽,白皮旗魚",Short nosed sword fish; Pacific black marlin; Silver marlin; Silver marlin fish; Short-nosed swordfish; Black marlin fish; Black marlin; Giant black marlin; Marlin,"生,混合均勻打碎",NA,0,魚貝類,樣品基本資料
E0510101,乾百合鱗片,"乾百合,乾百合花鱗片,乾蒜腦藷",Dry lily bulb,"生,乾貨,混合均勻打碎",NA,103,蔬菜類,樣品基本資料
F0410101,乾麒麟菜,"乾麒麟草,乾海麒麟草,乾海珊湖,乾珊湖藻(草),乾鹹(鹽/神/福)草",NA,"生,乾貨,褐色,混合均勻磨碎",0,0,藻類,樣品基本資料
